category,current_floor,deed_of_sale,id,n_floors,n_rooms,price_azn
Yeni tikili,7,True,1907751,14,5,655000
Yeni tikili,7,True,1907748,16,2,92000
Yeni tikili,10,True,1907747,16,3,144000
Yeni tikili,14,True,1907745,16,1,87000
Köhnə tikili,4,True,1907746,5,3,190000
Bağ,,True,1899746,,,268000
Bağ,,True,1873177,,,350000
Bağ,,True,1899512,,,290000
Yeni tikili,6,True,1859471,17,3,305000
Yeni tikili,2,True,1806255,17,3,205000
Yeni tikili,15,True,1861077,18,4,640000
Köhnə tikili,2,True,1907741,5,4,192000
Ev / Villa,,True,1907750,,4,33000
Yeni tikili,6,True,844850,17,4,330000
Obyekt,,True,1881222,,,535000
Obyekt,,False,1881162,,,2700000
Bağ,,True,1792808,,,350000
Bağ,,True,1907743,,,70000
Ev / Villa,,False,1907749,,9,140000
Bağ,,True,1869689,,,350000
Yeni tikili,26,False,1907742,28,2,145000
Bağ,,True,1901889,,,125000
Yeni tikili,10,True,1907744,17,2,117000
Bağ,,True,1872811,,,175000
